iter	Passed	Remaining
0	1	138
1	2	125
2	3	115
3	4	104
4	5	102
5	6	100
6	7	100
7	8	100
8	9	98
9	10	96
10	11	94
11	12	92
12	13	92
13	14	91
14	15	90
15	16	88
16	17	87
17	18	86
18	19	85
19	21	85
20	22	84
21	23	83
22	24	81
23	25	80
24	26	79
25	27	77
26	28	76
27	29	75
28	30	74
29	31	73
30	32	72
31	33	71
32	34	70
33	36	70
34	37	69
35	38	68
36	39	66
37	40	65
38	41	64
39	42	63
40	43	62
41	43	60
42	44	59
43	45	58
44	46	56
45	47	55
46	48	54
47	50	54
48	51	53
49	52	52
50	53	51
51	54	50
52	55	49
53	56	47
54	57	46
55	58	45
56	59	44
57	60	43
58	61	42
59	62	41
60	62	40
61	64	39
62	65	38
63	66	37
64	67	36
65	68	35
66	69	34
67	69	32
68	70	31
69	71	30
70	72	29
71	73	28
72	74	27
73	75	26
74	76	25
75	77	24
76	78	23
77	79	22
78	80	21
79	81	20
80	82	19
81	83	18
82	84	17
83	85	16
84	86	15
85	86	14
86	87	13
87	88	12
88	89	11
89	90	10
90	91	9
91	92	8
92	93	7
93	94	6
94	95	5
95	96	4
96	97	3
97	98	2
98	99	1
99	100	0
